"can","index","on","qc","ab","bc","ns","sk","nl","mb","nb"
373509,264,119785,149908,63023,33238,1409,11223,358,21826,567
381430,265,121834,151599,64851,33894,1415,11469,359,22047,573
387103,266,123647,153176,66730,34728,1420,11743,360,22392,573
393500,267,125184,154740,68566,35421,1426,11963,365,22630,574
399703,268,127119,156468,70301,36132,1430,12231,368,22859,574
406163,269,128863,158310,72028,36132,1436,12425,373,23025,578
412395,270,130791,160023,73488,36132,1441,12594,381,23180,580
418668,271,132773,161920,75054,38152,1443,12832,383,23380,585
426601,272,134671,163915,76792,38718,1445,13077,383,23624,587
432798,273,136621,165535,78382,39337,1447,13329,384,NA,NA
439151,274,138567,167276,80099,40060,1454,13555,385,NA,NA
445856,275,140338,169173,81986,40797,1458,13761,385,NA,NA
452540,276,142098,171028,83327,40797,1465,13942,NA,NA,NA
458440,277,143696,172801,84597,40797,NA,14101,NA,NA,NA
464251,278,146078,174839,86168,42943,NA,14255,NA,NA,NA
472811,279,148181,176985,87581,43463,NA,NA,NA,NA,NA
478992,280,150433,179093,88933,44103,NA,NA,NA,NA,NA
485529,281,152896,181276,90219,44776,NA,NA,NA,NA,NA
492568,282,155184,183523,91459,45400,NA,NA,NA,NA,NA
499267,283,157654,185872,92480,45400,NA,NA,NA,NA,NA
505629,284,159569,NA,93781,45400,NA,NA,NA,NA,NA
511435,285,162024,NA,94881,47066,NA,NA,NA,NA,NA
519285,286,164301,NA,NA,47510,NA,NA,NA,NA,NA
525556,287,166813,NA,NA,48027,NA,NA,NA,NA,NA
532504,288,169164,NA,NA,48609,NA,NA,NA,NA,NA
539298,289,NA,NA,NA,NA,NA,NA,NA,NA,NA
